order_id,customer_id,restaurant,items,item_names,item_categories,total_price,order_date,order_hour,order_day,n_items,payment_method,delivery_time_min,order_rating
ORD00038,CUST0490,Mediterranean Nights,"M0184,M0139,M0247,M0245","Pesto Pasta,Spicy Tuna Roll (8Pcs),Kunafa,Kunafa","Pasta,Sushi,Desserts,Desserts",219.0,2025-12-12,17,Friday,4,Cash,39,4.1
ORD00039,CUST0422,The Hungry Bear,"M0075,M0237,M0073,M0058,M0363","Veggie Supreme Pizza,Cheesecake Slice,Veggie Supreme Pizza,Bbq Chicken Pizza,Seafood Chowder","Pizza,Desserts,Pizza,Pizza,Soups",389.0,2026-03-31,7,Tuesday,5,Wallet,50,3.2
ORD00040,CUST0451,Street Eats,"M0211,M0224","Quinoa Power Bowl,Caprese Salad","Salads,Salads",105.0,2026-02-12,14,Thursday,2,Wallet,57,4.6
ORD00041,CUST0027,Daily Bites,"M0110,M0003","Mixed Grill Wrap,Classic Beef Burger","Shawarma,Burgers",122.0,2025-11-16,15,Sunday,2,Credit Card,40,3.1
ORD00042,CUST0156,Pizza Palace,"M0264,M0170,M0027,M0307","Waffles & Ice Cream,Penne Arrabiata,Spicy Jalapeño Burger,Hot Chocolate","Desserts,Pasta,Burgers,Beverages",189.0,2026-04-14,18,Tuesday,4,Wallet,53,4.2
ORD00043,CUST0136,Desert Rose Kitchen,"M0114,M0027","Cheese Shawarma,Spicy Jalapeño Burger","Shawarma,Burgers",110.0,2025-11-17,17,Monday,2,Cash,60,3.4
ORD00044,CUST0153,Pizza Palace,"M0042,M0265,M0305,M0272,M0030","Margherita Pizza,Mango Panna Cotta,Strawberry Milkshake,Mango Smoothie,Veggie Garden Burger","Pizza,Desserts,Beverages,Beverages,Burgers",250.0,2026-03-24,20,Tuesday,5,Credit Card,45,4.2
ORD00045,CUST0377,Crave It,"M0027,M0083,M0114","Spicy Jalapeño Burger,Truffle Mushroom Pizza,Cheese Shawarma","Burgers,Pizza,Shawarma",254.0,2026-01-01,1,Thursday,3,Wallet,44,3.9
ORD00046,CUST0302,The Hungry Bear,"M0152,M0257,M0086","Veggie Roll (8Pcs),Waffles & Ice Cream,Chicken Shawarma Wrap","Sushi,Desserts,Shawarma",146.0,2026-02-02,16,Monday,3,Credit Card,37,4.0
ORD00047,CUST0272,Sushi World,"M0176,M0091,M0019","Fettuccine Alfredo,Meat Shawarma Wrap,Bbq Bacon Burger","Pasta,Shawarma,Burgers",215.0,2026-01-06,9,Tuesday,3,Wallet,36,4.3
ORD00048,CUST0039,Sushi World,"M0052,M0040","Bbq Chicken Pizza,Margherita Pizza","Pizza,Pizza",182.0,2026-02-28,13,Saturday,2,Credit Card,58,4.5
ORD00049,CUST0296,The Foodie Hub,"M0263,M0214,M0282","Waffles & Ice Cream,Quinoa Power Bowl,Mint Lemonade","Desserts,Salads,Beverages",113.0,2025-12-05,11,Friday,3,Credit Card,49,5.0
ORD00050,CUST0478,The Foodie Hub,M0353,Lentil Soup,Soups,34.0,2025-11-24,9,Monday,1,Wallet,58,2.7
ORD00051,CUST0018,The Hungry Bear,"M0100,M0094,M0060,M0175,M0001","Shawarma Plate,Falafel Wrap,Four Cheese Pizza,Fettuccine Alfredo,Classic Beef Burger","Shawarma,Shawarma,Pizza,Pasta,Burgers",351.0,2026-03-09,10,Monday,5,Credit Card,56,4.6
ORD00052,CUST0284,Burger Factory,"M0130,M0075,M0073,M0269","Dragon Roll (8Pcs),Veggie Supreme Pizza,Veggie Supreme Pizza,Fresh Orange Juice","Sushi,Pizza,Pizza,Beverages",334.0,2026-01-01,20,Thursday,4,Wallet,49,3.1
ORD00053,CUST0368,Golden Fork,"M0154,M0076,M0073","Veggie Roll (8Pcs),Veggie Supreme Pizza,Veggie Supreme Pizza","Sushi,Pizza,Pizza",234.0,2026-03-15,15,Sunday,3,Cash,28,4.3
ORD00054,CUST0339,Royal Kitchen,"M0204,M0307,M0362","Greek Salad,Hot Chocolate,Mushroom Cream Soup","Salads,Beverages,Soups",107.0,2026-02-21,20,Saturday,3,Credit Card,56,4.3
ORD00055,CUST0450,Sushi World,"M0335,M0234","Pastrami Sandwich,Cheesecake Slice","Sandwiches,Desserts",94.0,2026-01-11,5,Sunday,2,Credit Card,23,4.8
ORD00056,CUST0277,Urban Bites,"M0158,M0149,M0024,M0195","Sashimi Platter (12Pcs),Veggie Roll (8Pcs),Mushroom Swiss Burger,Lasagna","Sushi,Sushi,Burgers,Pasta",345.0,2026-04-27,18,Monday,4,Credit Card,37,4.0
ORD00057,CUST0228,Sushi World,"M0080,M0150,M0084,M0358","Hawaiian Pizza,Veggie Roll (8Pcs),Truffle Mushroom Pizza,Mushroom Cream Soup","Pizza,Sushi,Pizza,Soups",331.0,2026-04-17,9,Friday,4,Cash,48,3.2
ORD00058,CUST0293,El Classico,"M0238,M0030,M0252,M0168","Crème Brûlée,Veggie Garden Burger,Umm Ali,Spaghetti Bolognese","Desserts,Burgers,Desserts,Pasta",207.0,2025-11-12,23,Wednesday,4,Credit Card,49,3.7
ORD00059,CUST0417,Flavor Street,"M0239,M0172,M0264","Crème Brûlée,Penne Arrabiata,Waffles & Ice Cream","Desserts,Pasta,Desserts",161.0,2026-03-09,10,Monday,3,Wallet,44,4.8
ORD00060,CUST0345,Crave It,"M0118,M0045,M0281","Cheese Shawarma,Pepperoni Pizza,Mint Lemonade","Shawarma,Pizza,Beverages",160.0,2025-12-19,22,Friday,3,Cash,53,3.5
ORD00061,CUST0334,Daily Bites,M0037,Truffle Burger,Burgers,103.0,2026-02-11,13,Wednesday,1,Wallet,51,4.5
ORD00062,CUST0005,The Grill House,"M0213,M0218","Quinoa Power Bowl,Grilled Chicken Salad","Salads,Salads",134.0,2026-02-04,9,Wednesday,2,Wallet,28,3.9
ORD00063,CUST0364,Urban Bites,"M0108,M0199,M0277,M0084","Mixed Grill Wrap,Caesar Salad,Iced Latte,Truffle Mushroom Pizza","Shawarma,Salads,Beverages,Pizza",296.0,2026-03-09,14,Monday,4,Wallet,43,5.0
ORD00064,CUST0035,Crave It,"M0118,M0224","Cheese Shawarma,Caprese Salad","Shawarma,Salads",88.0,2025-12-05,14,Friday,2,Credit Card,55,2.9
ORD00065,CUST0208,El Classico,"M0123,M0166,M0197","Salmon Nigiri (2Pcs),Spaghetti Bolognese,Caesar Salad","Sushi,Pasta,Salads",157.0,2025-12-25,19,Thursday,3,Cash,44,3.9
ORD00066,CUST0252,Daily Bites,"M0110,M0237","Mixed Grill Wrap,Cheesecake Slice","Shawarma,Desserts",111.0,2026-04-10,8,Friday,2,Wallet,56,2.6
ORD00067,CUST0199,Crave It,"M0296,M0358,M0113","Avocado Smoothie,Mushroom Cream Soup,Cheese Shawarma","Beverages,Soups,Shawarma",117.0,2025-12-13,15,Saturday,3,Credit Card,55,4.0
ORD00068,CUST0116,Sushi World,"M0106,M0255,M0045","Mixed Grill Wrap,Umm Ali,Pepperoni Pizza","Shawarma,Desserts,Pizza",192.0,2026-02-01,10,Sunday,3,Wallet,45,3.1
ORD00069,CUST0478,Pizza Palace,"M0337,M0231","Pastrami Sandwich,Cheesecake Slice","Sandwiches,Desserts",89.0,2025-11-18,17,Tuesday,2,Wallet,21,4.6
ORD00070,CUST0328,Pizza Palace,"M0172,M0146,M0119","Penne Arrabiata,Rainbow Roll (8Pcs),Salmon Nigiri (2Pcs)","Pasta,Sushi,Sushi",212.0,2026-03-25,16,Wednesday,3,Cash,35,4.0
ORD00071,CUST0285,Mama's Kitchen,"M0260,M0141","Waffles & Ice Cream,Rainbow Roll (8Pcs)","Desserts,Sushi",162.0,2025-11-15,20,Saturday,2,Wallet,41,4.4
ORD00072,CUST0058,The Grill House,"M0231,M0117,M0282,M0294","Cheesecake Slice,Cheese Shawarma,Mint Lemonade,Avocado Smoothie","Desserts,Shawarma,Beverages,Beverages",116.0,2026-02-28,11,Saturday,4,Cash,22,4.2
ORD00073,CUST0377,The Foodie Hub,"M0093,M0218","Meat Shawarma Wrap,Grilled Chicken Salad","Shawarma,Salads",102.0,2026-04-07,11,Tuesday,2,Credit Card,41,3.0
ORD00074,CUST0473,Pizza Palace,"M0313,M0279","Grilled Cheese,Iced Latte","Sandwiches,Beverages",54.0,2025-11-02,20,Sunday,2,Wallet,37,3.8
ORD00075,CUST0261,The Foodie Hub,"M0168,M0218,M0346","Spaghetti Bolognese,Grilled Chicken Salad,French Onion Soup","Pasta,Salads,Soups",167.0,2026-03-30,18,Monday,3,Wallet,41,4.2
ORD00076,CUST0146,Burger Factory,"M0207,M0271,M0218","Fattoush Salad,Fresh Orange Juice,Grilled Chicken Salad","Salads,Beverages,Salads",118.0,2026-02-16,18,Monday,3,Wallet,42,3.5
ORD00077,CUST0473,Pasta Corner,"M0304,M0104","Strawberry Milkshake,Shawarma Plate","Beverages,Shawarma",78.0,2026-04-12,9,Sunday,2,Wallet,51,3.0
ORD00078,CUST0157,Mama's Kitchen,"M0146,M0166,M0152,M0002","Rainbow Roll (8Pcs),Spaghetti Bolognese,Veggie Roll (8Pcs),Classic Beef Burger","Sushi,Pasta,Sushi,Burgers",274.0,2025-12-31,16,Wednesday,4,Credit Card,48,3.7
ORD00079,CUST0499,Pasta Corner,"M0273,M0034","Mango Smoothie,Truffle Burger","Beverages,Burgers",113.0,2025-11-30,6,Sunday,2,Wallet,29,3.9
ORD00080,CUST0109,Mama's Kitchen,"M0260,M0320,M0110","Waffles & Ice Cream,Tuna Melt,Mixed Grill Wrap","Desserts,Sandwiches,Shawarma",151.0,2026-02-24,15,Tuesday,3,Wallet,32,4.9
ORD00081,CUST0370,The Grill House,"M0224,M0316,M0213","Caprese Salad,Grilled Cheese,Quinoa Power Bowl","Salads,Sandwiches,Salads",150.0,2025-12-20,12,Saturday,3,Cash,36,2.8
ORD00082,CUST0374,Burger Factory,"M0130,M0098,M0305","Dragon Roll (8Pcs),Shawarma Plate,Strawberry Milkshake","Sushi,Shawarma,Beverages",204.0,2026-02-28,12,Saturday,3,Credit Card,23,3.7
ORD00083,CUST0018,Desert Rose Kitchen,"M0114,M0113,M0151,M0194","Cheese Shawarma,Cheese Shawarma,Veggie Roll (8Pcs),Lasagna","Shawarma,Shawarma,Sushi,Pasta",244.0,2026-02-01,17,Sunday,4,Cash,48,3.2
ORD00084,CUST0095,Crave It,"M0268,M0136,M0176,M0249","Mango Panna Cotta,Spicy Tuna Roll (8Pcs),Fettuccine Alfredo,Umm Ali","Desserts,Sushi,Pasta,Desserts",252.0,2026-02-23,10,Monday,4,Credit Card,43,4.8
ORD00085,CUST0191,Golden Fork,"M0126,M0331,M0014","California Roll (8Pcs),Egg & Avocado Toast,Crispy Chicken Burger","Sushi,Sandwiches,Burgers",154.0,2025-11-19,11,Wednesday,3,Credit Card,48,4.6
ORD00086,CUST0228,Urban Bites,"M0251,M0310","Umm Ali,Club Sandwich","Desserts,Sandwiches",89.0,2025-12-23,12,Tuesday,2,Credit Card,42,2.7
ORD00087,CUST0327,Crave It,"M0226,M0305,M0260,M0058,M0294","Caprese Salad,Strawberry Milkshake,Waffles & Ice Cream,Bbq Chicken Pizza,Avocado Smoothie","Salads,Beverages,Desserts,Pizza,Beverages",251.0,2026-03-03,13,Tuesday,5,Credit Card,54,3.2
ORD00088,CUST0336,Sushi World,"M0106,M0265,M0240,M0143","Mixed Grill Wrap,Mango Panna Cotta,Crème Brûlée,Rainbow Roll (8Pcs)","Shawarma,Desserts,Desserts,Sushi",247.0,2026-02-27,18,Friday,4,Credit Card,46,4.0
ORD00089,CUST0064,Urban Bites,M0324,Tuna Melt,Sandwiches,49.0,2025-12-14,15,Sunday,1,Credit Card,41,4.6
ORD00090,CUST0424,Pizza Palace,"M0348,M0347","French Onion Soup,French Onion Soup","Soups,Soups",81.0,2025-12-04,16,Thursday,2,Credit Card,48,3.7
ORD00091,CUST0168,Golden Fork,"M0271,M0119,M0218,M0058","Fresh Orange Juice,Salmon Nigiri (2Pcs),Grilled Chicken Salad,Bbq Chicken Pizza","Beverages,Sushi,Salads,Pizza",215.0,2026-02-19,14,Thursday,4,Cash,39,4.9
ORD00092,CUST0411,Desert Rose Kitchen,"M0248,M0046,M0049,M0347,M0260","Kunafa,Pepperoni Pizza,Pepperoni Pizza,French Onion Soup,Waffles & Ice Cream","Desserts,Pizza,Pizza,Soups,Desserts",318.0,2026-03-20,11,Friday,5,Cash,53,4.9
ORD00093,CUST0260,Desert Rose Kitchen,M0114,Cheese Shawarma,Shawarma,48.0,2026-04-22,11,Wednesday,1,Cash,45,3.7
ORD00094,CUST0175,The Grill House,"M0129,M0038,M0324,M0187,M0260","Dragon Roll (8Pcs),Truffle Burger,Tuna Melt,Pesto Pasta,Waffles & Ice Cream","Sushi,Burgers,Sandwiches,Pasta,Desserts",333.0,2026-04-25,4,Saturday,5,Cash,26,3.7
ORD00095,CUST0493,Crave It,"M0203,M0140","Caesar Salad,Spicy Tuna Roll (8Pcs)","Salads,Sushi",110.0,2026-03-23,13,Monday,2,Wallet,56,4.9
ORD00096,CUST0357,Fresh & Fit,"M0166,M0213,M0147","Spaghetti Bolognese,Quinoa Power Bowl,Rainbow Roll (8Pcs)","Pasta,Salads,Sushi",252.0,2025-11-20,12,Thursday,3,Cash,29,3.7
ORD00097,CUST0391,Pasta Corner,"M0021,M0359","Bbq Bacon Burger,Mushroom Cream Soup","Burgers,Soups",117.0,2026-02-16,17,Monday,2,Wallet,47,3.5
ORD00098,CUST0005,Sushi World,"M0052,M0109","Bbq Chicken Pizza,Mixed Grill Wrap","Pizza,Shawarma",167.0,2026-03-20,16,Friday,2,Credit Card,22,4.4
ORD00099,CUST0131,Desert Rose Kitchen,"M0006,M0148,M0032","Double Smash Burger,Veggie Roll (8Pcs),Truffle Burger","Burgers,Sushi,Burgers",211.0,2026-02-27,9,Friday,3,Cash,42,2.7
ORD00100,CUST0223,The Hungry Bear,"M0261,M0309,M0112","Waffles & Ice Cream,Hot Chocolate,Cheese Shawarma","Desserts,Beverages,Shawarma",111.0,2025-11-14,14,Friday,3,Credit Card,26,4.9
ORD00101,CUST0257,Mama's Kitchen,"M0260,M0172,M0224","Waffles & Ice Cream,Penne Arrabiata,Caprese Salad","Desserts,Pasta,Salads",164.0,2025-11-08,19,Saturday,3,Credit Card,24,4.6
ORD00102,CUST0398,Pizza Palace,"M0246,M0295,M0268,M0320,M0234","Kunafa,Avocado Smoothie,Mango Panna Cotta,Tuna Melt,Cheesecake Slice","Desserts,Beverages,Desserts,Sandwiches,Desserts",185.0,2025-12-03,19,Wednesday,5,Credit Card,28,3.4
ORD00103,CUST0133,Royal Kitchen,"M0208,M0046,M0343,M0158,M0228","Fattoush Salad,Pepperoni Pizza,French Onion Soup,Sashimi Platter (12Pcs),Chocolate Lava Cake","Salads,Pizza,Soups,Sushi,Desserts",351.0,2026-02-09,9,Monday,5,Wallet,39,3.6
ORD00104,CUST0019,Mediterranean Nights,"M0040,M0245,M0127,M0135,M0067","Margherita Pizza,Kunafa,California Roll (8Pcs),Spicy Tuna Roll (8Pcs),Meat Lovers Pizza","Pizza,Desserts,Sushi,Sushi,Pizza",373.0,2026-02-20,10,Friday,5,Wallet,33,4.7
ORD00105,CUST0172,Crave It,"M0147,M0367,M0018,M0177","Rainbow Roll (8Pcs),Seafood Chowder,Bbq Bacon Burger,Pasta Carbonara","Sushi,Soups,Burgers,Pasta",330.0,2026-04-20,9,Monday,4,Credit Card,35,4.2
ORD00106,CUST0491,Mama's Kitchen,"M0206,M0320,M0194","Greek Salad,Tuna Melt,Lasagna","Salads,Sandwiches,Pasta",185.0,2026-04-28,13,Tuesday,3,Credit Card,42,4.8
ORD00107,CUST0241,El Classico,"M0034,M0367,M0267,M0179","Truffle Burger,Seafood Chowder,Mango Panna Cotta,Pasta Carbonara","Burgers,Soups,Desserts,Pasta",267.0,2025-11-27,17,Thursday,4,Wallet,59,4.4
ORD00108,CUST0152,Street Eats,"M0281,M0162,M0102","Mint Lemonade,Spaghetti Bolognese,Shawarma Plate","Beverages,Pasta,Shawarma",137.0,2026-03-26,13,Thursday,3,Credit Card,40,3.6
ORD00109,CUST0469,Pizza Palace,"M0172,M0043,M0132","Penne Arrabiata,Margherita Pizza,Dragon Roll (8Pcs)","Pasta,Pizza,Sushi",249.0,2025-12-05,15,Friday,3,Wallet,29,4.3
ORD00110,CUST0467,Sushi World,"M0080,M0361","Hawaiian Pizza,Mushroom Cream Soup","Pizza,Soups",138.0,2026-02-15,12,Sunday,2,Cash,58,3.1
ORD00111,CUST0241,Mama's Kitchen,"M0232,M0111,M0271,M0286","Cheesecake Slice,Mixed Grill Wrap,Fresh Orange Juice,Mint Lemonade","Desserts,Shawarma,Beverages,Beverages",142.0,2025-12-05,17,Friday,4,Credit Card,46,4.9
ORD00112,CUST0087,Street Eats,"M0275,M0282,M0095","Mango Smoothie,Mint Lemonade,Falafel Wrap","Beverages,Beverages,Shawarma",77.0,2025-12-30,12,Tuesday,3,Credit Card,57,4.2
ORD00113,CUST0053,Sushi World,"M0080,M0052","Hawaiian Pizza,Bbq Chicken Pizza","Pizza,Pizza",198.0,2026-01-22,18,Thursday,2,Wallet,59,3.5
ORD00114,CUST0179,El Classico,"M0140,M0141,M0272","Spicy Tuna Roll (8Pcs),Rainbow Roll (8Pcs),Mango Smoothie","Sushi,Sushi,Beverages",207.0,2026-04-23,12,Thursday,3,Wallet,50,2.9
ORD00115,CUST0468,The Hungry Bear,"M0152,M0358,M0216,M0366","Veggie Roll (8Pcs),Mushroom Cream Soup,Quinoa Power Bowl,Seafood Chowder","Sushi,Soups,Salads,Soups",240.0,2025-11-27,13,Thursday,4,Wallet,28,3.7
ORD00116,CUST0390,Urban Bites,"M0251,M0174,M0282","Umm Ali,Fettuccine Alfredo,Mint Lemonade","Desserts,Pasta,Beverages",119.0,2026-03-05,20,Thursday,3,Cash,38,4.9
ORD00117,CUST0129,Crave It,M0049,Pepperoni Pizza,Pizza,110.0,2026-04-07,22,Tuesday,1,Wallet,21,3.5
ORD00118,CUST0289,Fresh & Fit,M0026,Spicy Jalapeño Burger,Burgers,52.0,2026-02-16,8,Monday,1,Cash,36,4.4
ORD00119,CUST0079,Urban Bites,M0108,Mixed Grill Wrap,Shawarma,68.0,2026-04-22,14,Wednesday,1,Credit Card,23,4.8
ORD00120,CUST0348,Fresh & Fit,"M0352,M0040,M0187,M0150","Lentil Soup,Margherita Pizza,Pesto Pasta,Veggie Roll (8Pcs)","Soups,Pizza,Pasta,Sushi",210.0,2026-01-17,12,Saturday,4,Cash,31,4.7
ORD00121,CUST0175,El Classico,"M0102,M0040,M0114,M0267,M0319","Shawarma Plate,Margherita Pizza,Cheese Shawarma,Mango Panna Cotta,Grilled Cheese","Shawarma,Pizza,Shawarma,Desserts,Sandwiches",250.0,2026-01-22,12,Thursday,5,Credit Card,47,3.0
ORD00122,CUST0244,Shawarma Station,"M0307,M0331,M0107,M0280","Hot Chocolate,Egg & Avocado Toast,Mixed Grill Wrap,Iced Latte","Beverages,Sandwiches,Shawarma,Beverages",154.0,2026-04-23,16,Thursday,4,Wallet,57,4.5
ORD00123,CUST0455,Shawarma Station,M0278,Iced Latte,Beverages,24.0,2025-11-03,10,Monday,1,Wallet,42,4.6
ORD00124,CUST0370,El Classico,"M0282,M0343,M0313","Mint Lemonade,French Onion Soup,Grilled Cheese","Beverages,Soups,Sandwiches",92.0,2025-12-19,18,Friday,3,Cash,28,3.3
ORD00125,CUST0299,Shawarma Station,"M0257,M0273,M0049,M0009,M0020","Waffles & Ice Cream,Mango Smoothie,Pepperoni Pizza,Crispy Chicken Burger,Bbq Bacon Burger","Desserts,Beverages,Pizza,Burgers,Burgers",313.0,2025-11-23,10,Sunday,5,Credit Card,37,2.8
ORD00126,CUST0372,Mama's Kitchen,"M0219,M0168","Grilled Chicken Salad,Spaghetti Bolognese","Salads,Pasta",134.0,2026-04-21,16,Tuesday,2,Cash,55,3.3
