antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule
"frozenset({'Waffles & Ice Cream', 'California Roll (8Pcs)'})",frozenset({'Sashimi Platter (12Pcs)'}),0.001,0.0245,0.001,1.0,40.816326530612244,1.0,0.0009755,inf,0.9764764764764764,0.04081632653061224,1.0,0.5204081632653061,"Waffles & Ice Cream, California Roll (8Pcs)",Sashimi Platter (12Pcs),"Waffles & Ice Cream, California Roll (8Pcs) → Sashimi Platter (12Pcs)"
"frozenset({'Tiramisu', 'Pasta Carbonara'})",frozenset({'Egg & Avocado Toast'}),0.001,0.0255,0.001,1.0,39.21568627450981,1.0,0.0009745,inf,0.9754754754754754,0.03921568627450981,1.0,0.5196078431372549,"Tiramisu, Pasta Carbonara",Egg & Avocado Toast,"Tiramisu, Pasta Carbonara → Egg & Avocado Toast"
"frozenset({'Mango Smoothie', 'Penne Arrabiata'})",frozenset({'California Roll (8Pcs)'}),0.001,0.028,0.001,1.0,35.714285714285715,1.0,0.000972,inf,0.9729729729729729,0.03571428571428571,1.0,0.5178571428571429,"Mango Smoothie, Penne Arrabiata",California Roll (8Pcs),"Mango Smoothie, Penne Arrabiata → California Roll (8Pcs)"
"frozenset({'Sashimi Platter (12Pcs)', 'Waffles & Ice Cream'})",frozenset({'California Roll (8Pcs)'}),0.001,0.028,0.001,1.0,35.714285714285715,1.0,0.000972,inf,0.9729729729729729,0.03571428571428571,1.0,0.5178571428571429,"Sashimi Platter (12Pcs), Waffles & Ice Cream",California Roll (8Pcs),"Sashimi Platter (12Pcs), Waffles & Ice Cream → California Roll (8Pcs)"
"frozenset({'Spaghetti Bolognese', 'Truffle Burger', 'Iced Latte'})",frozenset({'Club Sandwich'}),0.001,0.0325,0.001,1.0,30.769230769230766,1.0,0.0009675,inf,0.9684684684684685,0.030769230769230767,1.0,0.5153846153846153,"Spaghetti Bolognese, Truffle Burger, Iced Latte",Club Sandwich,"Spaghetti Bolognese, Truffle Burger, Iced Latte → Club Sandwich"
"frozenset({'Sashimi Platter (12Pcs)', 'Blt Sandwich'})",frozenset({'Dragon Roll (8Pcs)'}),0.001,0.0325,0.001,1.0,30.769230769230766,1.0,0.0009675,inf,0.9684684684684685,0.030769230769230767,1.0,0.5153846153846153,"Sashimi Platter (12Pcs), Blt Sandwich",Dragon Roll (8Pcs),"Sashimi Platter (12Pcs), Blt Sandwich → Dragon Roll (8Pcs)"
"frozenset({'Grilled Chicken Salad', 'Truffle Burger'})",frozenset({'Four Cheese Pizza'}),0.001,0.0345,0.001,1.0,28.98550724637681,1.0,0.0009655,inf,0.9664664664664664,0.02898550724637681,1.0,0.5144927536231884,"Grilled Chicken Salad, Truffle Burger",Four Cheese Pizza,"Grilled Chicken Salad, Truffle Burger → Four Cheese Pizza"
"frozenset({'Fattoush Salad', 'Iced Latte'})",frozenset({'Veggie Garden Burger'}),0.002,0.019,0.001,0.5,26.315789473684212,1.0,0.000962,1.962,0.9639278557114228,0.05000000000000001,0.49031600407747195,0.27631578947368424,"Fattoush Salad, Iced Latte",Veggie Garden Burger,"Fattoush Salad, Iced Latte → Veggie Garden Burger"
"frozenset({'Bbq Chicken Pizza', 'Meat Lovers Pizza'})",frozenset({'Tiramisu'}),0.002,0.0315,0.0015,0.75,23.80952380952381,1.0,0.0014370000000000001,3.874,0.9599198396793588,0.046875,0.7418688693856479,0.39880952380952384,"Bbq Chicken Pizza, Meat Lovers Pizza",Tiramisu,"Bbq Chicken Pizza, Meat Lovers Pizza → Tiramisu"
"frozenset({'Umm Ali', 'French Onion Soup'})",frozenset({'Mango Smoothie'}),0.0015,0.028,0.001,0.6666666666666666,23.809523809523807,1.0,0.000958,2.9159999999999995,0.9594391587381071,0.03508771929824561,0.6570644718792866,0.35119047619047616,"Umm Ali, French Onion Soup",Mango Smoothie,"Umm Ali, French Onion Soup → Mango Smoothie"
"frozenset({'Penne Arrabiata', 'California Roll (8Pcs)'})",frozenset({'Mango Smoothie'}),0.0015,0.028,0.001,0.6666666666666666,23.809523809523807,1.0,0.000958,2.9159999999999995,0.9594391587381071,0.03508771929824561,0.6570644718792866,0.35119047619047616,"Penne Arrabiata, California Roll (8Pcs)",Mango Smoothie,"Penne Arrabiata, California Roll (8Pcs) → Mango Smoothie"
"frozenset({'Mango Smoothie', 'Fattoush Salad'})",frozenset({'Meat Shawarma Wrap'}),0.001,0.0465,0.001,1.0,21.50537634408602,1.0,0.0009535,inf,0.9544544544544544,0.021505376344086023,1.0,0.510752688172043,"Mango Smoothie, Fattoush Salad",Meat Shawarma Wrap,"Mango Smoothie, Fattoush Salad → Meat Shawarma Wrap"
"frozenset({'Penne Arrabiata', 'Umm Ali'})",frozenset({'Seafood Chowder'}),0.0015,0.031,0.001,0.6666666666666666,21.50537634408602,1.0,0.0009535,2.9069999999999996,0.9549323985978968,0.031746031746031744,0.6560027519779841,0.3494623655913978,"Penne Arrabiata, Umm Ali",Seafood Chowder,"Penne Arrabiata, Umm Ali → Seafood Chowder"
"frozenset({'Blt Sandwich', 'French Onion Soup'})",frozenset({'Tiramisu'}),0.0015,0.0315,0.001,0.6666666666666666,21.16402116402116,1.0,0.00095275,2.9055,0.9541812719078618,0.03125,0.6558251591808638,0.3492063492063492,"Blt Sandwich, French Onion Soup",Tiramisu,"Blt Sandwich, French Onion Soup → Tiramisu"
"frozenset({'Lentil Soup', 'Caprese Salad'})",frozenset({'Meat Lovers Pizza'}),0.001,0.0475,0.001,1.0,21.05263157894737,1.0,0.0009525,inf,0.9534534534534533,0.021052631578947368,1.0,0.5105263157894737,"Lentil Soup, Caprese Salad",Meat Lovers Pizza,"Lentil Soup, Caprese Salad → Meat Lovers Pizza"
"frozenset({'Waffles & Ice Cream', 'Iced Latte'})",frozenset({'Veggie Garden Burger'}),0.0025,0.019,0.001,0.4,21.05263157894737,1.0,0.0009525,1.635,0.9548872180451127,0.04878048780487806,0.38837920489296635,0.22631578947368422,"Waffles & Ice Cream, Iced Latte",Veggie Garden Burger,"Waffles & Ice Cream, Iced Latte → Veggie Garden Burger"
"frozenset({'Hot Chocolate', 'Blt Sandwich'})",frozenset({'Dragon Roll (8Pcs)'}),0.0015,0.0325,0.001,0.6666666666666666,20.51282051282051,1.0,0.0009512500000000001,2.9025,0.9526790185277917,0.030303030303030304,0.6554694229112833,0.3487179487179487,"Hot Chocolate, Blt Sandwich",Dragon Roll (8Pcs),"Hot Chocolate, Blt Sandwich → Dragon Roll (8Pcs)"
"frozenset({'Mango Smoothie', 'Bbq Bacon Burger'})",frozenset({'Crispy Chicken Burger'}),0.001,0.049,0.001,1.0,20.408163265306122,1.0,0.000951,inf,0.9519519519519519,0.02040816326530612,1.0,0.5102040816326531,"Mango Smoothie, Bbq Bacon Burger",Crispy Chicken Burger,"Mango Smoothie, Bbq Bacon Burger → Crispy Chicken Burger"
"frozenset({'Hot Chocolate', 'Bbq Bacon Burger'})",frozenset({'Sashimi Platter (12Pcs)'}),0.002,0.0245,0.001,0.5,20.408163265306122,1.0,0.000951,1.951,0.9529058116232465,0.0392156862745098,0.48744233726294206,0.27040816326530615,"Hot Chocolate, Bbq Bacon Burger",Sashimi Platter (12Pcs),"Hot Chocolate, Bbq Bacon Burger → Sashimi Platter (12Pcs)"
"frozenset({'Dragon Roll (8Pcs)', 'Blt Sandwich'})",frozenset({'Sashimi Platter (12Pcs)'}),0.002,0.0245,0.001,0.5,20.408163265306122,1.0,0.000951,1.951,0.9529058116232465,0.0392156862745098,0.48744233726294206,0.27040816326530615,"Dragon Roll (8Pcs), Blt Sandwich",Sashimi Platter (12Pcs),"Dragon Roll (8Pcs), Blt Sandwich → Sashimi Platter (12Pcs)"
"frozenset({'Bbq Chicken Pizza', 'Salmon Nigiri (2Pcs)'})",frozenset({'Grilled Chicken Salad'}),0.0015,0.033,0.001,0.6666666666666666,20.2020202020202,1.0,0.0009505000000000001,2.901,0.9519278918377566,0.029850746268656716,0.6552912788693553,0.34848484848484845,"Bbq Chicken Pizza, Salmon Nigiri (2Pcs)",Grilled Chicken Salad,"Bbq Chicken Pizza, Salmon Nigiri (2Pcs) → Grilled Chicken Salad"
"frozenset({'Caprese Salad', 'Bbq Chicken Pizza'})",frozenset({'Avocado Smoothie'}),0.001,0.051,0.001,1.0,19.607843137254903,1.0,0.000949,inf,0.9499499499499499,0.019607843137254905,1.0,0.5098039215686274,"Caprese Salad, Bbq Chicken Pizza",Avocado Smoothie,"Caprese Salad, Bbq Chicken Pizza → Avocado Smoothie"
"frozenset({'Avocado Smoothie', 'Bbq Chicken Pizza'})",frozenset({'Caprese Salad'}),0.0015,0.0345,0.001,0.6666666666666666,19.323671497584538,1.0,0.00094825,2.8964999999999996,0.9496745117676514,0.02857142857142857,0.6547557396858277,0.34782608695652173,"Avocado Smoothie, Bbq Chicken Pizza",Caprese Salad,"Avocado Smoothie, Bbq Chicken Pizza → Caprese Salad"
"frozenset({'Meat Lovers Pizza', 'French Onion Soup'})",frozenset({'Caprese Salad'}),0.0015,0.0345,0.001,0.6666666666666666,19.323671497584538,1.0,0.00094825,2.8964999999999996,0.9496745117676514,0.02857142857142857,0.6547557396858277,0.34782608695652173,"Meat Lovers Pizza, French Onion Soup",Caprese Salad,"Meat Lovers Pizza, French Onion Soup → Caprese Salad"
"frozenset({'Strawberry Milkshake', 'Bbq Bacon Burger'})",frozenset({'Watermelon Juice'}),0.002,0.026,0.001,0.5,19.23076923076923,1.0,0.0009480000000000001,1.948,0.9498997995991985,0.03703703703703704,0.486652977412731,0.2692307692307692,"Strawberry Milkshake, Bbq Bacon Burger",Watermelon Juice,"Strawberry Milkshake, Bbq Bacon Burger → Watermelon Juice"
"frozenset({'Cheesecake Slice', 'Cheese Shawarma'})",frozenset({'Double Smash Burger'}),0.0035,0.015,0.001,0.2857142857142857,19.047619047619047,1.0,0.0009475,1.379,0.9508278976417461,0.05714285714285715,0.27483683828861494,0.17619047619047618,"Cheesecake Slice, Cheese Shawarma",Double Smash Burger,"Cheesecake Slice, Cheese Shawarma → Double Smash Burger"
"frozenset({'Mango Smoothie', 'California Roll (8Pcs)'})",frozenset({'Penne Arrabiata'}),0.0015,0.0355,0.001,0.6666666666666666,18.779342723004696,1.0,0.00094675,2.8935,0.9481722583875813,0.02777777777777778,0.6543977881458442,0.3474178403755868,"Mango Smoothie, California Roll (8Pcs)",Penne Arrabiata,"Mango Smoothie, California Roll (8Pcs) → Penne Arrabiata"
"frozenset({'Cheesecake Slice', 'Spicy Tuna Roll (8Pcs)'})",frozenset({'Hot Chocolate'}),0.0015,0.0355,0.001,0.6666666666666666,18.779342723004696,1.0,0.00094675,2.8935,0.9481722583875813,0.02777777777777778,0.6543977881458442,0.3474178403755868,"Cheesecake Slice, Spicy Tuna Roll (8Pcs)",Hot Chocolate,"Cheesecake Slice, Spicy Tuna Roll (8Pcs) → Hot Chocolate"
"frozenset({'Mixed Grill Wrap', 'Spicy Jalapeño Burger'})",frozenset({'French Onion Soup'}),0.001,0.0535,0.001,1.0,18.69158878504673,1.0,0.0009465000000000001,inf,0.9474474474474475,0.01869158878504673,1.0,0.5093457943925234,"Mixed Grill Wrap, Spicy Jalapeño Burger",French Onion Soup,"Mixed Grill Wrap, Spicy Jalapeño Burger → French Onion Soup"
"frozenset({'Sashimi Platter (12Pcs)', 'Hot Chocolate'})",frozenset({'Bbq Bacon Burger'}),0.0015,0.0365,0.001,0.6666666666666666,18.264840182648403,1.0,0.00094525,2.8905,0.9466700050075112,0.02702702702702703,0.6540390935824252,0.3470319634703196,"Sashimi Platter (12Pcs), Hot Chocolate",Bbq Bacon Burger,"Sashimi Platter (12Pcs), Hot Chocolate → Bbq Bacon Burger"
"frozenset({'Watermelon Juice', 'Strawberry Milkshake'})",frozenset({'Bbq Bacon Burger'}),0.0015,0.0365,0.001,0.6666666666666666,18.264840182648403,1.0,0.00094525,2.8905,0.9466700050075112,0.02702702702702703,0.6540390935824252,0.3470319634703196,"Watermelon Juice, Strawberry Milkshake",Bbq Bacon Burger,"Watermelon Juice, Strawberry Milkshake → Bbq Bacon Burger"
"frozenset({'Club Sandwich', 'Cheese Shawarma', 'Spaghetti Bolognese'})",frozenset({'Truffle Burger'}),0.001,0.0555,0.001,1.0,18.01801801801802,1.0,0.0009445,inf,0.9454454454454454,0.018018018018018018,1.0,0.509009009009009,"Club Sandwich, Cheese Shawarma, Spaghetti Bolognese",Truffle Burger,"Club Sandwich, Cheese Shawarma, Spaghetti Bolognese → Truffle Burger"
"frozenset({'Spaghetti Bolognese', 'Club Sandwich', 'Iced Latte'})",frozenset({'Truffle Burger'}),0.001,0.0555,0.001,1.0,18.01801801801802,1.0,0.0009445,inf,0.9454454454454454,0.018018018018018018,1.0,0.509009009009009,"Spaghetti Bolognese, Club Sandwich, Iced Latte",Truffle Burger,"Spaghetti Bolognese, Club Sandwich, Iced Latte → Truffle Burger"
"frozenset({'Dragon Roll (8Pcs)', 'Waffles & Ice Cream'})",frozenset({'Tuna Melt'}),0.0015,0.037,0.001,0.6666666666666666,18.01801801801802,1.0,0.0009445,2.889,0.9459188783174762,0.02666666666666667,0.653859466943579,0.34684684684684686,"Dragon Roll (8Pcs), Waffles & Ice Cream",Tuna Melt,"Dragon Roll (8Pcs), Waffles & Ice Cream → Tuna Melt"
"frozenset({'Crème Brûlée', 'Hawaiian Pizza'})",frozenset({'Blt Sandwich'}),0.0015,0.0375,0.001,0.6666666666666666,17.77777777777778,1.0,0.00094375,2.8874999999999997,0.9451677516274412,0.026315789473684213,0.6536796536796536,0.3466666666666666,"Crème Brûlée, Hawaiian Pizza",Blt Sandwich,"Crème Brûlée, Hawaiian Pizza → Blt Sandwich"
"frozenset({'Cheesecake Slice', 'Pesto Pasta'})",frozenset({'Fattoush Salad'}),0.0015,0.0375,0.001,0.6666666666666666,17.77777777777778,1.0,0.00094375,2.8874999999999997,0.9451677516274412,0.026315789473684213,0.6536796536796536,0.3466666666666666,"Cheesecake Slice, Pesto Pasta",Fattoush Salad,"Cheesecake Slice, Pesto Pasta → Fattoush Salad"
"frozenset({'Dragon Roll (8Pcs)', 'Hot Chocolate'})",frozenset({'Blt Sandwich'}),0.0015,0.0375,0.001,0.6666666666666666,17.77777777777778,1.0,0.00094375,2.8874999999999997,0.9451677516274412,0.026315789473684213,0.6536796536796536,0.3466666666666666,"Dragon Roll (8Pcs), Hot Chocolate",Blt Sandwich,"Dragon Roll (8Pcs), Hot Chocolate → Blt Sandwich"
"frozenset({'Dragon Roll (8Pcs)', 'Sashimi Platter (12Pcs)'})",frozenset({'Blt Sandwich'}),0.0015,0.0375,0.001,0.6666666666666666,17.77777777777778,1.0,0.00094375,2.8874999999999997,0.9451677516274412,0.026315789473684213,0.6536796536796536,0.3466666666666666,"Dragon Roll (8Pcs), Sashimi Platter (12Pcs)",Blt Sandwich,"Dragon Roll (8Pcs), Sashimi Platter (12Pcs) → Blt Sandwich"
"frozenset({'Caprese Salad', 'Avocado Smoothie'})",frozenset({'Bbq Chicken Pizza'}),0.001,0.0565,0.001,1.0,17.699115044247787,1.0,0.0009435,inf,0.9444444444444443,0.017699115044247787,1.0,0.5088495575221239,"Caprese Salad, Avocado Smoothie",Bbq Chicken Pizza,"Caprese Salad, Avocado Smoothie → Bbq Chicken Pizza"
"frozenset({'Hot Chocolate', 'Falafel Wrap'})",frozenset({'Bbq Chicken Pizza'}),0.001,0.0565,0.001,1.0,17.699115044247787,1.0,0.0009435,inf,0.9444444444444443,0.017699115044247787,1.0,0.5088495575221239,"Hot Chocolate, Falafel Wrap",Bbq Chicken Pizza,"Hot Chocolate, Falafel Wrap → Bbq Chicken Pizza"
"frozenset({'Penne Arrabiata', 'Shawarma Plate'})",frozenset({'Cheesecake Slice'}),0.001,0.0575,0.001,1.0,17.391304347826086,1.0,0.0009425,inf,0.9434434434434433,0.017391304347826087,1.0,0.508695652173913,"Penne Arrabiata, Shawarma Plate",Cheesecake Slice,"Penne Arrabiata, Shawarma Plate → Cheesecake Slice"
"frozenset({'Hot Chocolate', 'Mint Lemonade'})",frozenset({'Cheesecake Slice'}),0.001,0.0575,0.001,1.0,17.391304347826086,1.0,0.0009425,inf,0.9434434434434433,0.017391304347826087,1.0,0.508695652173913,"Hot Chocolate, Mint Lemonade",Cheesecake Slice,"Hot Chocolate, Mint Lemonade → Cheesecake Slice"
"frozenset({'Watermelon Juice', 'Bbq Bacon Burger'})",frozenset({'Strawberry Milkshake'}),0.002,0.0295,0.001,0.5,16.949152542372882,1.0,0.000941,1.941,0.9428857715430862,0.03278688524590164,0.48480164863472436,0.2669491525423729,"Watermelon Juice, Bbq Bacon Burger",Strawberry Milkshake,"Watermelon Juice, Bbq Bacon Burger → Strawberry Milkshake"
"frozenset({'Pastrami Sandwich', 'Waffles & Ice Cream'})",frozenset({'Pasta Carbonara'}),0.001,0.0615,0.001,1.0,16.260162601626018,1.0,0.0009385,inf,0.9394394394394393,0.016260162601626018,1.0,0.508130081300813,"Pastrami Sandwich, Waffles & Ice Cream",Pasta Carbonara,"Pastrami Sandwich, Waffles & Ice Cream → Pasta Carbonara"
"frozenset({'Crispy Chicken Burger', 'Grilled Cheese'})",frozenset({'Meat Shawarma Wrap'}),0.002,0.0465,0.0015,0.75,16.129032258064516,1.0,0.001407,3.814,0.939879759519038,0.031914893617021274,0.7378080755112743,0.3911290322580645,"Crispy Chicken Burger, Grilled Cheese",Meat Shawarma Wrap,"Crispy Chicken Burger, Grilled Cheese → Meat Shawarma Wrap"
"frozenset({'Spicy Jalapeño Burger', 'French Onion Soup'})",frozenset({'Mixed Grill Wrap'}),0.001,0.0635,0.001,1.0,15.748031496062993,1.0,0.0009365,inf,0.9374374374374373,0.015748031496062992,1.0,0.5078740157480315,"Spicy Jalapeño Burger, French Onion Soup",Mixed Grill Wrap,"Spicy Jalapeño Burger, French Onion Soup → Mixed Grill Wrap"
"frozenset({'Veggie Garden Burger', 'Truffle Burger'})",frozenset({'Caesar Salad'}),0.001,0.0635,0.001,1.0,15.748031496062993,1.0,0.0009365,inf,0.9374374374374373,0.015748031496062992,1.0,0.5078740157480315,"Veggie Garden Burger, Truffle Burger",Caesar Salad,"Veggie Garden Burger, Truffle Burger → Caesar Salad"
"frozenset({'Avocado Smoothie', 'Truffle Mushroom Pizza'})",frozenset({'Caesar Salad'}),0.001,0.0635,0.001,1.0,15.748031496062993,1.0,0.0009365,inf,0.9374374374374373,0.015748031496062992,1.0,0.5078740157480315,"Avocado Smoothie, Truffle Mushroom Pizza",Caesar Salad,"Avocado Smoothie, Truffle Mushroom Pizza → Caesar Salad"
"frozenset({'Fattoush Salad', 'Mint Lemonade'})",frozenset({'Mixed Grill Wrap'}),0.001,0.0635,0.001,1.0,15.748031496062993,1.0,0.0009365,inf,0.9374374374374373,0.015748031496062992,1.0,0.5078740157480315,"Fattoush Salad, Mint Lemonade",Mixed Grill Wrap,"Fattoush Salad, Mint Lemonade → Mixed Grill Wrap"
"frozenset({'Meat Shawarma Wrap', 'Spaghetti Bolognese'})",frozenset({'Egg & Avocado Toast'}),0.0025,0.0255,0.001,0.4,15.686274509803923,1.0,0.00093625,1.6241666666666668,0.9385964912280701,0.03703703703703704,0.3842996408414571,0.21960784313725493,"Meat Shawarma Wrap, Spaghetti Bolognese",Egg & Avocado Toast,"Meat Shawarma Wrap, Spaghetti Bolognese → Egg & Avocado Toast"
"frozenset({'Caprese Salad', 'Spaghetti Bolognese'})",frozenset({'Egg & Avocado Toast'}),0.0025,0.0255,0.001,0.4,15.686274509803923,1.0,0.00093625,1.6241666666666668,0.9385964912280701,0.03703703703703704,0.3842996408414571,0.21960784313725493,"Caprese Salad, Spaghetti Bolognese",Egg & Avocado Toast,"Caprese Salad, Spaghetti Bolognese → Egg & Avocado Toast"
"frozenset({'Seafood Chowder', 'Bbq Bacon Burger'})",frozenset({'Rainbow Roll (8Pcs)'}),0.001,0.064,0.001,1.0,15.625,1.0,0.000936,inf,0.9369369369369368,0.015625,1.0,0.5078125,"Seafood Chowder, Bbq Bacon Burger",Rainbow Roll (8Pcs),"Seafood Chowder, Bbq Bacon Burger → Rainbow Roll (8Pcs)"
"frozenset({'French Onion Soup', 'Veggie Supreme Pizza'})",frozenset({'Watermelon Juice'}),0.0025,0.026,0.001,0.4,15.384615384615387,1.0,0.0009350000000000001,1.6233333333333333,0.9373433583959899,0.03636363636363637,0.38398357289527724,0.21923076923076923,"French Onion Soup, Veggie Supreme Pizza",Watermelon Juice,"French Onion Soup, Veggie Supreme Pizza → Watermelon Juice"
"frozenset({'Crème Brûlée', 'Crispy Chicken Burger'})",frozenset({'Club Sandwich'}),0.002,0.0325,0.001,0.5,15.384615384615383,1.0,0.0009350000000000001,1.935,0.9368737474949901,0.029850746268656716,0.48320413436692505,0.2653846153846154,"Crème Brûlée, Crispy Chicken Burger",Club Sandwich,"Crème Brûlée, Crispy Chicken Burger → Club Sandwich"
"frozenset({'Truffle Burger', 'Cheese Shawarma', 'Spaghetti Bolognese'})",frozenset({'Club Sandwich'}),0.002,0.0325,0.001,0.5,15.384615384615383,1.0,0.0009350000000000001,1.935,0.9368737474949901,0.029850746268656716,0.48320413436692505,0.2653846153846154,"Truffle Burger, Cheese Shawarma, Spaghetti Bolognese",Club Sandwich,"Truffle Burger, Cheese Shawarma, Spaghetti Bolognese → Club Sandwich"
"frozenset({'Crispy Chicken Burger', 'Pasta Carbonara'})",frozenset({'Club Sandwich'}),0.002,0.0325,0.001,0.5,15.384615384615383,1.0,0.0009350000000000001,1.935,0.9368737474949901,0.029850746268656716,0.48320413436692505,0.2653846153846154,"Crispy Chicken Burger, Pasta Carbonara",Club Sandwich,"Crispy Chicken Burger, Pasta Carbonara → Club Sandwich"
"frozenset({'Dragon Roll (8Pcs)', 'Caesar Salad'})",frozenset({'Veggie Supreme Pizza'}),0.0015,0.044,0.001,0.6666666666666666,15.151515151515152,1.0,0.000934,2.8679999999999994,0.9354031046569855,0.022471910112359553,0.6513249651324965,0.34469696969696967,"Dragon Roll (8Pcs), Caesar Salad",Veggie Supreme Pizza,"Dragon Roll (8Pcs), Caesar Salad → Veggie Supreme Pizza"
"frozenset({'Veggie Roll (8Pcs)', 'Mushroom Cream Soup'})",frozenset({'Truffle Mushroom Pizza'}),0.0025,0.0265,0.001,0.4,15.094339622641511,1.0,0.00093375,1.6225,0.9360902255639096,0.03571428571428572,0.38366718027734975,0.2188679245283019,"Veggie Roll (8Pcs), Mushroom Cream Soup",Truffle Mushroom Pizza,"Veggie Roll (8Pcs), Mushroom Cream Soup → Truffle Mushroom Pizza"
